year, inflation, bonds, stocks, allocator
1975, 1069.3999999999999, 1055.1999999999998, 1369.5, 1369.5
1976, 1121.3728399999998, 1216.5400799999998, 1700.6451, 1700.6451
1977, 1196.5048202799996, 1222.9877424239999, 1567.31452416, 1567.31452416
1978, 1304.4295550692557, 1213.9376331300623, 1659.315886728192, 1659.315886728192
1979, 1477.7882429379597, 1236.1526918163424, 1958.8224042826305, 1958.8224042826305
1980, 1662.8073309537922, 1220.2063220919115, 2584.078515729646, 2584.078515729646
1981, 1811.1297448748703, 1284.6332158983644, 2449.4480250601314, 2449.4480250601314
1982, 1880.4960141035779, 1792.962579429347, 2963.097275915241, 2963.097275915241
1983, 1951.7668130381035, 1834.2007187562217, 3593.940685957595, 3593.940685957595
1984, 2028.8616021531088, 2106.946365635272, 3817.124402555562, 3817.124402555562
1985, 2105.958343034927, 2735.8698557774005, 5009.212353473664, 5009.212353473664
1986, 2129.1238848083112, 3319.9780699858757, 5913.876104511008, 5913.876104511008
1987, 2223.4440729053194, 3232.3306489382485, 6192.419669033476, 6192.419669033476
1988, 2321.7203009277346, 3455.3614637149876, 7196.8301393507045, 7196.8301393507045
1989, 2429.680294920874, 4071.797948841741, 9453.756071051086, 9453.756071051086
1990, 2578.133760940539, 4385.3263909025545, 9139.89136949219, 9139.89136949219
1991, 2657.0246540253197, 5214.591611422228, 11901.966541352731, 11901.966541352731
1992, 2734.0783689920536, 5591.606584928056, 12785.092458721105, 12785.092458721105
1993, 2809.2655241393354, 6316.837958993224, 14049.538102888622, 14054.567232489244
1994, 2884.2729136338553, 5862.657309741611, 14215.322652502708, 14157.06291565916
1995, 2957.5334456401556, 7360.566252380593, 19538.96098586497, 19444.001150344768
1996, 3055.7235560354084, 7360.566252380593, 24009.475259430877, 23170.592708597644
1997, 3107.67085648801, 8241.62603279055, 31978.22009803599, 29617.249114009654
1998, 3157.704357277467, 9448.200083991087, 41130.38669009389, 36896.70333110572
1999, 3242.3308340525027, 8708.406017414585, 49796.55916569667, 41588.89291201133
2000, 3352.2458493268828, 10213.218577223826, 45284.990905284554, 40984.49230980109
2001, 3404.2056599914495, 10764.732380393913, 39841.73499846935, 38125.6585235431
2002, 3485.225754699246, 12427.883533164773, 31016.790696308388, 33811.03846861089
2003, 3550.7479988875916, 12446.525358464522, 39856.57604475628, 42446.35651195083
2004, 3666.502383651327, 13006.618999595425, 44137.1723119631, 46382.27022620727
2005, 3791.8967651722023, 13398.118231483248, 46242.515431243744, 48423.86250956914
2006, 3888.2109430075766, 13691.53702075273, 53474.84484469027, 54648.00514958618
2007, 4046.8499494822854, 15118.195178315165, 56357.13898181908, 58216.02177507161
2008, 4050.492114436819, 18221.960648423268, 35493.72613074965, 41366.506775809146
2009, 4160.665499949501, 16368.787250478621, 44896.014182785235, 52324.494420720985
2010, 4223.075482448743, 17665.195200716527, 51590.00989743851, 60050.111904286474
2011, 4348.078516729226, 20534.02290131289, 52606.333092418055, 62146.19405764507
2012, 4423.735082920315, 21094.601726518733, 60928.65498763858, 71602.06034013885
2013, 4490.091109164119, 19286.79435855608, 80535.49616266068, 92581.91030944095
2014, 4524.215801593767, 21336.980598870592, 91415.84169423614, 104655.63107715797
2015, 4557.242576945401, 21575.954781577944, 92558.53971541408, 105935.78045514392
2016, 4651.57749828817, 21791.714329393722, 103498.95910977603, 116804.79842286426
2017, 4749.72578350205, 22312.536301866232, 125927.18354886449, 136621.06312164446
2018, 4840.445545966939, 22533.430411254707, 120222.68213410092, 132591.46545022674
2019, 4951.291748969581, 24342.86487327846, 157888.44844671473, 166344.50384672347
